FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
181,E07000181,West Oxfordshire, ,434343,215817,-1.50292,51.8399,714422285.45961,160469.02266463
182,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.7017,78874734.7137985,50287.272691129
183,E07000193,East Staffordshire, ,412599,326571,-1.81441,52.8365,389940891.829987,184522.866707827
184,E07000194,Lichfield, ,416276,310967,-1.76059,52.6962,331267748.679008,127614.587944593
185,E07000195,Newcastle-under-Lyme, ,378201,345177,-2.32628,53.0035,210950870.423302,109482.316048792
186,E07000196,South Staffordshire, ,389624,311036,-2.15496,52.6969,407280176.008286,185203.585424225
187,E07000197,Stafford, ,389000,327835,-2.16477,52.8479,598184098.692223,160955.973163962
188,E07000198,Staffordshire Moorlands, ,400543,352448,-1.99334,53.0693,575893799.669174,153193.840206293
189,E07000199,Tamworth, ,421452,302547,-1.68455,52.6203,30841237.1955185,30734.7931627421
190,E07000200,Babergh, ,599987,244692,0.916149,52.0645,611487639.507645,172194.881087494
191,E07000202,Ipswich, ,617163,244456,1.16618,52.0559,40291043.588089,37032.6371579772
192,E07000203,Mid Suffolk, ,611646,262335,1.09695,52.2186,871063263.10997,191449.061861922
193,E07000207,Elmbridge, ,511883,163655,-0.3944,51.361,96343870.7642441,52374.0556164219
194,E07000208,Epsom and Ewell, ,521176,161476,-0.26172,51.3395,34088041.8875961,28675.5304741305
195,E07000209,Guildford, ,500408,151481,-0.56257,51.2537,270944605.949356,129035.637566284
196,E07000210,Mole Valley, ,518377,148953,-0.30603,51.2275,258312228.399635,105875.337718115
197,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.2585,129161832.368668,80207.9732073987
198,E07000212,Runnymede, ,501777,166980,-0.53855,51.3927,78025891.4561005,45732.1608805653
199,E07000213,Spelthorne, ,507012,169622,-0.46254,51.4155,51171307.4148407,44178.880041849
200,E07000214,Surrey Heath, ,491364,160485,-0.68983,51.3361,95091790.7123108,53645.4944941518
201,E07000215,Tandridge, ,536362,150328,-0.04809,51.2358,248227477.637299,83233.688225881
202,E07000216,Waverley, ,496363,140635,-0.62343,51.1569,345198144.99213,126093.091132943
203,E07000217,Woking, ,499088,157544,-0.57981,51.3084,63609296.3765945,55061.011308961
